Date,Queue,New,Resolved
2022-01-01,2915,5,47
2022-01-02,2872,0,16
2022-01-03,2860,2,16
2022-01-04,2847,2,15
2022-01-05,2836,0,13
2022-01-06,2827,1,11
2022-01-07,2820,1,11
2022-01-08,2812,2,11
2022-01-09,2802,0,11
2022-01-10,2791,0,11
2022-01-11,2781,1,11
2022-01-12,2770,0,11
2022-01-13,2759,0,11
2022-01-14,2748,0,11
2022-01-15,2737,0,11
2022-01-16,2726,0,11
2022-01-17,2715,0,11
2022-01-18,2704,0,10
2022-01-19,2694,0,9
2022-01-20,2686,1,9
2022-01-21,2678,0,9
2022-01-22,2673,2,9
2022-01-23,2667,1,9
2022-01-24,2660,0,8
2022-01-25,2655,2,7
2022-01-26,2649,1,7
2022-01-27,2643,1,7
2022-01-28,2639,3,7
2022-01-29,2636,4,7
2022-01-30,2631,2,7
2022-01-31,2626,2,7
2022-02-01,2622,3,7
2022-02-02,2618,3,7
2022-02-03,2611,0,7
2022-02-04,2604,0,7
2022-02-05,2597,0,7
2022-02-06,2590,0,7
2022-02-07,2584,1,7
2022-02-08,2578,1,7
2022-02-09,2571,0,7
2022-02-10,2566,2,7
2022-02-11,2559,0,7
2022-02-12,2552,0,7
2022-02-13,2545,0,7
2022-02-14,2538,0,7
2022-02-15,2531,0,7
2022-02-16,2525,0,7
2022-02-17,2521,2,7
2022-02-18,2515,0,7
2022-02-19,2510,1,6
2022-02-20,2504,0,6
2022-02-21,2499,1,6
2022-02-22,2496,3,6
2022-02-23,2490,0,6
2022-02-24,2485,1,6
2022-02-25,2479,0,6
2022-02-26,2475,2,6
2022-02-27,2470,1,6
2022-02-28,2464,0,6
2022-03-01,2459,1,6
2022-03-02,2453,0,6
2022-03-03,2450,3,6
2022-03-04,2444,0,6
2022-03-05,2439,1,6
2022-03-06,2433,0,6
2022-03-07,2430,3,6
2022-03-08,2425,1,6
2022-03-09,2419,0,6
2022-03-10,2414,1,6
2022-03-11,2410,2,6
2022-03-12,2406,2,6
2022-03-13,2400,0,6
2022-03-14,2397,3,6
2022-03-15,2392,1,6
2022-03-16,2387,1,6
2022-03-17,2381,0,6
2022-03-18,2376,1,6
2022-03-19,2371,1,6
2022-03-20,2365,0,6
2022-03-21,2359,0,6
2022-03-22,2355,1,6
2022-03-23,2353,1,6
2022-03-24,2350,0,6
2022-03-25,2348,1,6
2022-03-26,2346,2,5
2022-03-27,2343,0,5
2022-03-28,2340,0,5
2022-03-29,2338,1,5
2022-03-30,2336,1,5
2022-03-31,2333,0,5
2022-04-01,2330,0,5
2022-04-02,2328,1,5
2022-04-03,2323,0,5
2022-04-04,2318,0,3
2022-04-05,2315,0,3
2022-04-06,2313,1,3
2022-04-07,2311,1,3
2022-04-08,2311,3,3
2022-04-09,2309,1,3
2022-04-10,2307,1,3
2022-04-11,2304,0,3
2022-04-12,2302,1,3
2022-04-13,2299,0,3
2022-04-14,2296,0,3
2022-04-15,2295,2,3
2022-04-16,2292,0,3
2022-04-17,2291,2,3
2022-04-18,2289,1,3
2022-04-19,2287,1,3
